Question,Answer
"What happens if the security deposit does not cover the damages?","Mynd will send the resident an invoice for any deficit. If unpaid, Mynd will refer the resident to a collection agency. The investor covers costs above the deposit to complete repairs."
"Do you market my property while the resident is still living in the property?","Mynd pre-lists the property in most markets, advertising it as ""coming soon"" and accepting applications without showing occupied properties."
"What are the damages that the resident is responsible for?","Residents are responsible for cleaning, carpet cleaning, and landscaping. Normal wear and tear cannot be charged to the resident."
"How does Mynd determine what is needed to get the home ready for a new resident?","Mynd assesses the property with a vendor's estimate to determine resident charges (damages) vs. investor charges (wear and tear)."
"What does Mynd do to limit the number of vacant days?","Mynd pre-lists occupied properties, transfers utilities in advance, uses in-house technicians, and updates marketing sites with virtual tours to reduce vacancy time."
"Do you rekey the house after the resident moves out?","Yes, locks are changed each time to protect the owner and ensure resident safety."
"As the property owner, what can I do to limit the number of vacant days?","Follow Mynd's recommendations, including approving upgrades, allowing pets, and considering rental price suggestions."
"What criteria does Mynd use to qualify applicants?","Review Mynd's screening criteria, including credit, income, rental history checks, and a potential background check for those with marginal scores."
"Will you let me know when my home has been leased?","Yes, you will receive an automated email once a lease is signed."
"How are turnover expenses billed?","Expenses are billed from the property's account, with the resident's security deposit applied if applicable."
"Can the resident use their security deposit to pay the last month rent?","No, the deposit covers damages and outstanding fees, not rent."
"How many days notice does the resident have to give to move out?","Residents typically must give a 30-day notice, subject to state laws or non-Mynd leases."
"What is Mynd's rental application process?","Applicants over 18 undergo a credit, income, and rental history check. Background checks are performed as needed, and residents must meet income and credit requirements."
"Can I lease the property myself?","No, as Mynd provides full-service management. Leasing through Mynd ensures compliance with housing guidelines."
"Can my agent list the property for lease while Mynd is managing it?","While Mynd prefers in-house listings to reduce costs, agents may be involved in specific markets."
"Does Mynd adhere to Federal Fair Housing Guidelines?","Yes, Mynd follows Fair Housing and Fair Credit regulations, treating all applicants equally."
"How long can a resident hold a property?","Residents can hold a property for two weeks with a deposit. Longer holds require owner approval."
"Does Mynd require residents to have renters insurance?","Yes, insurance is required before residents can access the property."
"Does Mynd require residents to have utilities in their name?","For properties without included utilities, residents must provide proof of utility activation before moving in."
"Does Mynd make the final decision on application approvals?","Yes, Mynd manages the application process fully, shielding owners from legal issues."
"Can I receive a copy of the applicant's credit report?","No, per the Fair Credit Act, credit details are confidential."
"Who holds the security deposit?","Mynd holds the deposit and handles the security deposit disposition upon move-out."
"What are rent-ready standards?","Rent-ready standards ensure properties are clean, safe, and functional, leading to faster leases and lower vacancy rates."
"What is a property turnover, and what does it cost?","A property turnover prepares the home for a new resident, with costs detailed in Mynd's Turns Breakdown."
"What does the $5,000 Mynd Eviction Guarantee entail?","Typical eviction costs range from $950 to $1,500. The $5,000 covers attorney and court fees during an eviction."
"Can I pick my own lawyer to handle the eviction?","Yes, you may select your own lawyer and access Mynd's legal partners."
"Do Mynd's guarantees apply to my current tenant if Mynd didn't place them?","Guarantees apply if the tenant meets Mynd's professional management, rent history, and inspection requirements."
"Does the $2500 pet guarantee cover existing pets?","No, only screened pets in new leases are covered."
"Who determines pet damage and its cost?","Mynd's portfolio associates assess and document pet-related damages during move-out."
"Does rental income start after my rent projections or tenant placement?","Income begins once a vetted Mynd resident is placed."
"Does rent income guarantee cover vacancy periods?","No, it applies only once a Mynd tenant is in place."
"When do I get paid if rent isn't collected?","Payments are scheduled by the 25th of each month for unpaid rent."
